Date,PlayerID,AccelImpulse
2018-05-13,11,5.960322229
2018-05-13,12,5.93750475
2018-05-13,13,5.972227
2018-05-13,15,5.948417457
2018-05-13,16,5.8842639
2018-06-08,1,5.962967733
2018-06-08,2,5.962967733
2018-06-08,3,5.956353971
2018-06-08,4,5.972227
2018-06-08,5,5.961810325
2018-06-08,7,5.879634333
2018-06-08,8,5.940480943
2018-06-08,11,5.956353971
2018-06-08,13,5.924607914
2018-06-08,14,5.928576171
2018-06-08,15,5.8194491
2018-06-08,16,5.924607914
2018-06-09,1,5.9583381
2018-06-09,2,5.9166714
2018-06-09,3,5.9583381
2018-06-09,4,5.972227
2018-06-09,5,5.9583381
2018-06-09,7,5.96111588
2018-06-09,8,5.972227
2018-06-09,11,5.96528255
2018-06-09,13,5.956353971
2018-06-09,14,5.8611158
2018-06-09,15,5.9305603
2018-06-09,16,5.93750475
2018-06-10,1,5.972227
2018-06-10,2,5.9583381
2018-06-10,3,5.972227
2018-06-10,4,5.972227
2018-06-10,5,5.9583381
2018-06-10,7,5.9583381
2018-06-10,8,5.907412133
2018-06-10,11,5.972227
2018-06-10,13,5.972227
2018-06-10,15,5.9166714
2018-07-20,1,5.93889364
2018-07-20,2,5.9305603
2018-07-20,3,5.8611158
2018-07-20,4,5.96528255
2018-07-20,5,5.95139365
2018-07-20,7,5.93333808
2018-07-20,10,5.92778252
2018-07-20,11,5.96528255
2018-07-20,13,5.96111588
2018-07-20,14,5.90556028
2018-07-20,15,5.8888936
2018-07-20,16,5.972227
2018-07-21,1,5.972227
2018-07-21,2,5.90972695
2018-07-21,3,5.972227
2018-07-21,4,5.9583381
2018-07-21,5,5.7638935
2018-07-21,7,5.972227
2018-07-21,10,5.90972695
2018-07-21,11,5.972227
2018-07-21,13,5.9166714
2018-07-21,14,5.89583805
2018-07-21,15,5.8888936
2018-07-21,16,5.82639355
